TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
O	5573	5736						
O	5759	5923						
T	6354	6470						
O	6799	7096						
O	7105	7392						
T	7933	8071						
O	7	307						
T	390	505						
T	530	689						
T	701	931						
T	964	1240						
T	1258	1443						
T	1473	1695						
O	1749	1960						
O	1980	2173						
O	2185	2420						
O	2465	2525						
O	2572	2731						
O	2754	2838						
O	2932	3173						
O	3219	3377						
O	3395	3540						
O	3564	3823						
O	3872	4107						
O	4123	4335						
O	4351	4462						
O	5021	5051						
O	5087	5225						
O	5553	5644						
O	5681	5982						
O	6002	6196						
O	6792	7002						
O	7038	7128						
T	7174	7381						
T	7404	7555						
T	7569	7866						
O	7914	8092						
T	161	316						
O	357	557						
T	591	1054						
T	1092	1383						
T	1399	1696						
O	1768	1989						
O	2054	2227						
O	2246	2556						
O	2621	2759						
O	3152	3361						
O	3424	3496						
O	3540	3633						
O	3766	4315						
O	6729	6908						
O	6959	7261						
O	7278	7558						
O	7	280						
T	579	806						
T	864	1116						
T	1349	1546						
T	1593	1982						
O	2271	2436						
T	2465	2676						
T	3888	4105						
O	4140	4368						
O	4418	4605						
O	4624	4774						
T	4789	5239						
O	5437	5708						
O	5725	5888						
O	5899	6096						
T	6150	6273						
T	6296	6633						
T	6645	6795						
T	6823	6959						
T	7015	7282						
T	7305	7578						
T	7600	7884						
T	7	283						
T	312	387						
T	442	662						
T	975	1172						
O	1225	1393						
O	1498	1631						
O	1662	1695						
O	2321	2381						
O	2409	2546						
O	2585	2757						
O	2776	2945						
O	3013	3229						
O	3244	3689						
T	3717	3980						
T	4037	4273						
T	4302	4513						
T	4542	4670						
T	4717	4903						
T	4948	5403						
O	5680	6039						
T	6085	6315						
O	6388	6622						
O	6641	7235						
O	7287	7475						
O	7502	7695						
T	7710	7971						
O	7989	8091						
T	298	465						
T	938	1129						
O	1428	1641						
T	2129	2298						
O	3582	3705						
O	3727	3858						
T	3906	4055						
T	4081	4239						
T	5254	5467						
T	5480	5846						
O	5903	6314						
O	6341	7234						
T	7710	7896						
T	7923	8086						
O	7	305						
O	353	523						
O	568	780						
T	858	1106						
T	1337	1598						
O	1654	1831						
O	1857	2002						
O	2020	2192						
O	2210	2493						
O	2540	2767						
O	2808	3066						
T	3297	3563						
T	3582	3861						
T	3880	4002						
T	4051	4254						
T	4277	4458						
O	4482	4656						
O	4670	4878						
O	4922	5190						
T	5500	5707						
O	6169	6412						
O	6601	6912						
O	7801	7980						
O	8008	8098						
O	7	311						
T	334	509						
T	534	685						
O	738	941						
O	1008	1229						
T	1274	1648						
T	2453	2807						
O	2881	3095						
O	3136	3349						
O	3371	3533						
O	3555	3754						
